field_component,derivative_x,region_name,s_start,s_end,idx_start,idx_end,param_index,param_name,param_symbol,param_value,to_fit
Bx,0,Poly_106,0.292,0.304,1392,1404,4,a_1_4,a_1_4,12788486.604329133,True
Bx,0,Poly_107,0.304,0.322,1404,1422,0,a_1_0,a_1_0,10665.839578117706,True
Bx,0,Poly_107,0.304,0.322,1404,1422,1,a_1_1,a_1_1,-113542.76542549365,True
Bx,0,Poly_107,0.304,0.322,1404,1422,2,a_1_2,a_1_2,434313.2960247756,True
Bx,0,Poly_107,0.304,0.322,1404,1422,3,a_1_3,a_1_3,-690172.752280498,True
Bx,0,Poly_107,0.304,0.322,1404,1422,4,a_1_4,a_1_4,363360.86823846644,True
Bx,0,Poly_108,0.322,0.334,1422,1434,0,a_1_0,a_1_0,16881.75006449212,True
Bx,0,Poly_108,0.322,0.334,1422,1434,1,a_1_1,a_1_1,-237574.05418804052,True
Bx,0,Poly_108,0.322,0.334,1422,1434,2,a_1_2,a_1_2,1230663.2932521524,True
Bx,0,Poly_108,0.322,0.334,1422,1434,3,a_1_3,a_1_3,-2792443.220825631,True
Bx,0,Poly_108,0.322,0.334,1422,1434,4,a_1_4,a_1_4,2348439.607320027,True
Bx,0,Poly_109,0.334,0.34600000000000003,1434,1446,0,a_1_0,a_1_0,77642.08948618443,True
Bx,0,Poly_109,0.334,0.34600000000000003,1434,1446,1,a_1_1,a_1_1,-899751.0355749263,True
Bx,0,Poly_109,0.334,0.34600000000000003,1434,1446,2,a_1_2,a_1_2,3909286.2533831433,True
Bx,0,Poly_109,0.334,0.34600000000000003,1434,1446,3,a_1_3,a_1_3,-7547525.231618183,True
Bx,0,Poly_109,0.334,0.34600000000000003,1434,1446,4,a_1_4,a_1_4,5463269.977465384,True
Bx,0,Poly_11,-0.984,-0.974,116,126,0,a_1_0,a_1_0,3458840.3922660556,True
Bx,0,Poly_11,-0.984,-0.974,116,126,1,a_1_1,a_1_1,14330002.09017561,True
Bx,0,Poly_11,-0.984,-0.974,116,126,2,a_1_2,a_1_2,22256081.413893856,True
