field_component,derivative_x,region_name,s_start,s_end,idx_start,idx_end,param_index,param_name,param_symbol,param_value,to_fit
Bs,0,Poly_0,-1.1,1.1,0,2200,0,bs_0,bs_0,0,False
Bs,0,Poly_0,-1.1,1.1,0,2200,1,bs_1,bs_1,0,False
Bs,0,Poly_0,-1.1,1.1,0,2200,2,bs_2,bs_2,0,False
Bs,0,Poly_0,-1.1,1.1,0,2200,3,bs_3,bs_3,0,False
Bs,0,Poly_0,-1.1,1.1,0,2200,4,bs_4,bs_4,0,False
Bx,0,Poly_00,-1.1,-0.92,0,180,0,ks_0_0,ks_0_0,-6090.507670776886,True
Bx,0,Poly_00,-1.1,-0.92,0,180,1,ks_0_1,ks_0_1,-24196.629344397457,True
Bx,0,Poly_00,-1.1,-0.92,0,180,2,ks_0_2,ks_0_2,-35944.34368136489,True
Bx,0,Poly_00,-1.1,-0.92,0,180,3,ks_0_3,ks_0_3,-23665.26738812131,True
Bx,0,Poly_00,-1.1,-0.92,0,180,4,ks_0_4,ks_0_4,-5827.197177391853,True
Bx,0,Poly_01,-0.92,-0.866,180,234,0,ks_0_0,ks_0_0,-880147.2847594618,True
Bx,0,Poly_01,-0.92,-0.866,180,234,1,ks_0_1,ks_0_1,-3946171.9294072506,True
Bx,0,Poly_01,-0.92,-0.866,180,234,2,ks_0_2,ks_0_2,-6632772.940773986,True
Bx,0,Poly_01,-0.92,-0.866,180,234,3,ks_0_3,ks_0_3,-4953350.070832466,True
Bx,0,Poly_01,-0.92,-0.866,180,234,4,ks_0_4,ks_0_4,-1386760.888394033,True
Bx,0,Poly_02,-0.866,-0.812,234,288,0,ks_0_0,ks_0_0,-685638.7837095924,True
Bx,0,Poly_02,-0.866,-0.812,234,288,1,ks_0_1,ks_0_1,-3272348.480049679,True
Bx,0,Poly_02,-0.866,-0.812,234,288,2,ks_0_2,ks_0_2,-5854698.411849731,True
Bx,0,Poly_02,-0.866,-0.812,234,288,3,ks_0_3,ks_0_3,-4653895.528513985,True
Bx,0,Poly_02,-0.866,-0.812,234,288,4,ks_0_4,ks_0_4,-1386787.096802677,True
Bx,0,Poly_03,-0.812,-0.758,288,342,0,ks_0_0,ks_0_0,-525287.5210054319,True
Bx,0,Poly_03,-0.812,-0.758,288,342,1,ks_0_1,ks_0_1,-2679901.543071131,True
Bx,0,Poly_03,-0.812,-0.758,288,342,2,ks_0_2,ks_0_2,-5125071.750060628,True
Bx,0,Poly_03,-0.812,-0.758,288,342,3,ks_0_3,ks_0_3,-4354384.281936862,True
Bx,0,Poly_03,-0.812,-0.758,288,342,4,ks_0_4,ks_0_4,-1386798.1048024208,True
