field_component,derivative_x,region_name,s_start,s_end,idx_start,idx_end,param_index,param_name,param_symbol,param_value,to_fit
Bx,0,Poly_09,-488.0,-434.0,612,666,1,ks_0_1,ks_0_1,-541.4418338290218,True
Bx,0,Poly_09,-488.0,-434.0,612,666,2,ks_0_2,ks_0_2,-1.7659049051381985,True
Bx,0,Poly_09,-488.0,-434.0,612,666,3,ks_0_3,ks_0_3,-0.0025568239246807965,True
Bx,0,Poly_09,-488.0,-434.0,612,666,4,ks_0_4,ks_0_4,-1.3866531237757133e-06,True
Bx,0,Poly_10,-434.0,-380.0,666,720,0,ks_0_0,ks_0_0,-37709.27820707634,True
Bx,0,Poly_10,-434.0,-380.0,666,720,1,ks_0_1,ks_0_1,-372.2786292773249,True
Bx,0,Poly_10,-434.0,-380.0,666,720,2,ks_0_2,ks_0_2,-1.3761825162268368,True
Bx,0,Poly_10,-434.0,-380.0,666,720,3,ks_0_3,ks_0_3,-0.002257667307424519,True
Bx,0,Poly_10,-434.0,-380.0,666,720,4,ks_0_4,ks_0_4,-1.386872194452482e-06,True
Bx,0,Poly_11,-380.0,-326.0,720,774,0,ks_0_0,ks_0_0,-21273.808481699296,True
Bx,0,Poly_11,-380.0,-326.0,720,774,1,ks_0_1,ks_0_1,-242.50930535020024,True
Bx,0,Poly_11,-380.0,-326.0,720,774,2,ks_0_2,ks_0_2,-1.0346310322669696,True
Bx,0,Poly_11,-380.0,-326.0,720,774,3,ks_0_3,ks_0_3,-0.001957968931790999,True
Bx,0,Poly_11,-380.0,-326.0,720,774,4,ks_0_4,ks_0_4,-1.3867816319717594e-06,True
Bx,0,Poly_12,-326.0,-272.0,774,828,0,ks_0_0,ks_0_0,-10899.69213399846,True
Bx,0,Poly_12,-326.0,-272.0,774,828,1,ks_0_1,ks_0_1,-147.03609165730012,True
Bx,0,Poly_12,-326.0,-272.0,774,828,2,ks_0_2,ks_0_2,-0.7417627301555321,True
Bx,0,Poly_12,-326.0,-272.0,774,828,3,ks_0_3,ks_0_3,-0.0016585539962848737,True
Bx,0,Poly_12,-326.0,-272.0,774,828,4,ks_0_4,ks_0_4,-1.3868876729716698e-06,True
Bx,0,Poly_13,-272.0,-218.0,828,882,0,ks_0_0,ks_0_0,-4873.087459477107,True
Bx,0,Poly_13,-272.0,-218.0,828,882,1,ks_0_1,ks_0_1,-80.55649322692705,True
Bx,0,Poly_13,-272.0,-218.0,828,882,2,ks_0_2,ks_0_2,-0.49731087035943156,True
Bx,0,Poly_13,-272.0,-218.0,828,882,3,ks_0_3,ks_0_3,-0.0013588957086853775,True
Bx,0,Poly_13,-272.0,-218.0,828,882,4,ks_0_4,ks_0_4,-1.3867894560481897e-06,True
Bx,0,Poly_14,-218.0,-164.0,882,936,0,ks_0_0,ks_0_0,-1769.7355013725416,True
Bx,0,Poly_14,-218.0,-164.0,882,936,1,ks_0_1,ks_0_1,-37.833766866169924,True
Bx,0,Poly_14,-218.0,-164.0,882,936,2,ks_0_2,ks_0_2,-0.3012147552775405,True
Bx,0,Poly_14,-218.0,-164.0,882,936,3,ks_0_3,ks_0_3,-0.001058576586182278,True
Bx,0,Poly_14,-218.0,-164.0,882,936,4,ks_0_4,ks_0_4,-1.3857682617452485e-06,True
Bx,0,Poly_15,-164.0,-110.0,936,990,0,ks_0_0,ks_0_0,-450.2762124582115,True
Bx,0,Poly_15,-164.0,-110.0,936,990,1,ks_0_1,ks_0_1,-13.69456925087972,True
