point,name,current_norm_mm,previous_norm_mm
XTAX.X0220023.E,XTAX.X0220023,0.0009999999974752427,0.0009999999974752
XTAX.X0220023.S,XTAX.X0220023,0.0019999999949504854,0.0019999999949504
XTAX.X0220025.E,XTAX.X0220025,0.0019999999949504854,0.0019999999949504
XTAX.X0220025.S,XTAX.X0220025,0.0014142137999687712,0.0014142137999687
MSN.X0220027.E,MSN.X0220027,0.00223606812438118,0.0022360681243811
MSN.X0220027.S,MSN.X0220027,0.002236067717642821,0.0022360677176428
MSN.X0220031.A,MSN.X0220031,0.0019999999949504854,0.0019999999949504
MSN.X0220031.E,MSN.X0220031,0.0019999999949504854,0.0019999999949504
MSN.X0220031.B,MSN.X0220031,0.00223606812438118,0.0022360681243811
MSN.X0220031.S,MSN.X0220031,0.002236067717642821,0.0022360677176428
QNL.X0220034.E,QNL.X0220034,0.0022360678193274323,2.7971101158177327
QNL.X0220034.S,QNL.X0220034,0.00223606812438118,2.80219503250214
QNL.X0220041.E,QNL.X0220041,0.0019999999949504854,0.0019999999949504
QNL.X0220041.S,QNL.X0220041,0.002999999992425728,0.0029999999924257
QNL.X0220049.E,QNL.X0220049,0.002999999992425728,5.595212685861549
QNL.X0220049.S,QNL.X0220049,0.003999999989900971,5.602159940691908
MBNV.X0220053.E,MBNV.X0220053,0.0031622774724297683,12.000056041707872
MBNV.X0220053.S,MBNV.X0220053,0.003162277616233463,12.001056661866928
MBNV.X0220059.E,MBNV.X0220059,0.003162277616233463,4.0001981199946455
MBNV.X0220059.S,MBNV.X0220059,0.0044721358420239275,4.002200144598081
MBNV.X0220065.E,MBNV.X0220065,0.004123105697927157,2.000288979070156
MBNV.X0220065.S,MBNV.X0220065,0.004582575857045477,1.9982892680743969
XCSH.X0220068.E,XCSH.X0220068,0.004242640515630215,12.955690216991735
XCSH.X0220068.S,XCSH.X0220068,0.003999999989900971,12.964622362340789
MBNV.X0220071.E,MBNV.X0220071,0.005099019567606479,40.00010672474408
MBNV.X0220071.S,MBNV.X0220071,0.0054772253744164905,39.99810728031736
MBNV.X0220077.E,MBNV.X0220077,0.005099019478423177,200.0013861226483
MBNV.X0220077.S,MBNV.X0220077,0.005916079883462458,200.0034153659944
MBNV.X0220083.E,MBNV.X0220083,0.005099019389239913,0.0050990193892399
MBNV.X0220083.S,MBNV.X0220083,0.006999999966085727,0.0069999999660857
QNL.X0220087.E,QNL.X0220087,0.005099019567606479,0.0050990195676064
QNL.X0220087.S,QNL.X0220087,0.006082762571010733,0.0060827625710107
QNL.X0220097.E,QNL.X0220097,0.006082762571010733,0.0060827625710107
QNL.X0220097.S,QNL.X0220097,0.007071067777934999,0.0070710677779349
MBXHC.X0220117.E,MBXHC.X0220117,0.00824621128556186,0.0082462112855618
