name,element_type,length_chord,tilt,angle,dtheta,dphi,dpsi,dpsi_no_tilt,dx,dy,ds,single_point,ds_exit_requested,ds_exit_rigid,ds_exit_dropped
QNL.X0220034,Quadrupole,2.99,0.0,0.0,0.001003344649949934,0.0,0.0,0.0,-0.0015,0.0,0.0,False,0.0,-1.5050171011665725e-06,1.5050171011665725e-06
QNL.X0220049,Quadrupole,2.99,0.0,0.0,0.002006690309969194,0.0,0.0,0.0,-0.003,0.0,0.0,False,0.0,-6.020072949919353e-06,6.020072949919353e-06
MBNV.X0220053,RBend,5.0,1.5707963267948966,-0.00683713374742509,0.0,0.0,1.5707963267948966,0.0,3.673918929528016e-19,0.005999964940235735,-2.05113612908768e-05,False,0.0,0.0,0.0
MBNV.X0220059,RBend,5.0,1.5707963267948966,-0.00683713374742509,0.0,0.0,1.5707963267948966,0.0,1.2246396431760054e-19,0.0019999883134119113,-6.837120430292267e-06,False,0.0,0.0,0.0
MBNV.X0220065,RBend,5.0,1.5707963267948966,-0.00683713374742509,0.0,0.0,1.5707963267948966,0.0,-6.123198215880027e-20,-0.0009999941567059556,3.4185602151461335e-06,False,0.0,0.0,0.0
XCSH.X0220068,Drift,1.0,0.0,0.0,0.016000682745321855,0.0,0.0,0.0,-0.008,0.0,0.0,False,0.0,-0.00012800819304881195,0.00012800819304881195
MBNV.X0220071,RBend,5.0,1.5707963267948966,-0.00683713374742509,0.0,0.0,1.5707963267948966,0.0,-1.2246396431760054e-18,-0.019999883134119115,6.837120430292267e-05,False,0.0,0.0,0.0
MBNV.X0220077,RBend,5.0,1.5707963267948966,-0.00683713374742509,0.0,0.0,1.5707963267948966,0.0,-6.123198215880027e-18,-0.09999941567059557,0.00034185602151461336,False,0.0,0.0,0.0
MBNV.X0220083,RBend,5.0,1.5707963267948966,-0.00683713374742509,0.0,0.0,1.5707963267948966,0.0,-1.2559586475513598e-21,-2.05113612908768e-05,-0.005999964940235735,False,-0.006,-0.006000000000000227,2.2724877535296173e-16
QNL.X0220097,Quadrupole,2.99,0.0,0.0,0.0,-0.00013377926461308564,0.0,0.0,0.0,0.0002,0.0,False,0.0,-2.67558530886447e-08,2.67558530886447e-08
MBXHC.X0220117,RBend,2.5,0.0,-0.0025377072326041032,0.0,0.0,0.0,0.0,-2.5377065516571587e-06,0.0,-0.0019999983900107162,False,-0.002,-0.0019999999999997797,-2.203098814490545e-16
MBXHC.X0220120,RBend,2.5,0.0,-0.0025377072326041032,0.0,0.0,0.0,0.0,1.2688532758285793e-06,0.0,0.0009999991950053581,False,0.001,0.0009999999999998899,1.1015494072452725e-16
MBXHC.X0220123,RBend,2.5,0.0,-0.0025377072326041032,0.0,0.0,0.0,0.0,2.5377065516571587e-05,0.0,0.019999983900107165,False,0.02,0.020000000000000018,-1.734723475976807e-17
MBXHC.X0220127,RBend,2.5,0.0,-0.0025377072326041032,0.0,0.0,0.0,0.0,0.00012688532758285792,0.0,0.09999991950053583,False,0.1,0.10000000000000009,-8.326672684688674e-17
XSCI.X0220130,Drift,0.1,0.0,0.0,0.0,0.0,-0.004,-0.004,0.0,0.002,0.0,True,0.0,0.0,0.0
XCHV.X0220130,Drift,1.0,0.0,0.0,0.0,-0.004000010666743469,0.0,0.0,0.0,0.002,0.0,False,0.0,-8.000032000299306e-06,8.000032000299306e-06
