overlap_length,overlap_order,overlapping_pipe_positions,s_start,s_end
6.220073702279478,2,VEBA.22370[SPVEBA_; ref=mba.22370; s=1904.39933936->1911.05942112; length=6.66008175947; span_s=1904.39933936->1911.05982363; span=6.66048426813] | MBA.22370[SPMBA__; ref=mba.22370; s=1904.61333936->1910.83341306; length=6.22007370228; span_s=1904.61333744->1910.83379135; span=6.2204539154],1904.6133393590026,1910.833413061282
6.220073702279478,2,VEBA.42390[SPVEBA_; ref=mba.42390; s=4214.89875502->4221.55883678; length=6.66008175947; span_s=4214.89875502->4221.55923929; span=6.66048426813] | MBA.42390[SPMBA__; ref=mba.42390; s=4215.11275502->4221.33282872; length=6.22007370228; span_s=4215.1127531->4221.33320701; span=6.2204539154],4215.112755019002,4221.332828721282
6.220073702279478,2,VEBA.43450[SPVEBA_; ref=mba.43450; s=4553.5942673->4560.25434906; length=6.66008175947; span_s=4553.5942673->4560.25475157; span=6.66048426813] | MBA.43450[SPMBA__; ref=mba.43450; s=4553.8082673->4560.028341; length=6.22007370228; span_s=4553.80826538->4560.02871929; span=6.2204539154],4553.808267299002,4560.028341001282
6.220073702279478,2,VEBA.50370[SPVEBA_; ref=mba.50370; s=4720.20317344->4726.8632552; length=6.66008175947; span_s=4720.20317344->4726.86365771; span=6.66048426813] | MBA.50370[SPMBA__; ref=mba.50370; s=4720.41717344->4726.63724714; length=6.22007370228; span_s=4720.41717152->4726.63762543; span=6.2204539154],4720.417173439003,4726.637247141282
6.220073702279478,2,VEBA.50450[SPVEBA_; ref=mba.50450; s=4745.58093146->4752.24101322; length=6.66008175947; span_s=4745.58093146->4752.24141573; span=6.66048426813] | MBA.50450[SPMBA__; ref=mba.50450; s=4745.79493146->4752.01500516; length=6.22007370228; span_s=4745.79492954->4752.01538345; span=6.2204539154],4745.794931459003,4752.015005161283
6.220073702279478,2,VEBA.50770[SPVEBA_; ref=mba.50770; s=4848.19428288->4854.85436464; length=6.66008175947; span_s=4848.19428288->4854.85476715; span=6.66048426813] | MBA.50770[SPMBA__; ref=mba.50770; s=4848.40828288->4854.62835658; length=6.22007370228; span_s=4848.40828096->4854.62873487; span=6.2204539154],4848.408282879002,4854.628356581282
6.220073702279478,2,VEBA.51390[SPVEBA_; ref=mba.51390; s=5046.84096638->5053.50104813; length=6.6600817559; span_s=5046.84096638->5053.50145065; span=6.66048427169] | MBA.51390[SPMBA__; ref=mba.51390; s=5047.05506638->5053.27514008; length=6.22007370228; span_s=5047.05506446->5053.27551837; span=6.2204539154],5047.055066379003,5053.275140081282
6.220073702279478,2,VEBA.51590[SPVEBA_; ref=mba.51590; s=5110.83658242->5117.49666418; length=6.66008175947; span_s=5110.83658242->5117.49706669; span=6.66048426813] | MBA.51590[SPMBA__; ref=mba.51590; s=5111.05058242->5117.27065612; length=6.22007370228; span_s=5111.0505805->5117.27103441; span=6.2204539154],5111.050582419002,5117.270656121282
6.220073702279478,2,VEBA.52050[SPVEBA_; ref=mba.52050; s=5257.5451211->5264.20520286; length=6.66008175947; span_s=5257.5451211->5264.20560537; span=6.66048426813] | MBA.52050[SPMBA__; ref=mba.52050; s=5257.7591211->5263.9791948; length=6.22007370228; span_s=5257.75911918->5263.97957309; span=6.2204539154],5257.759121099002,5263.979194801282
6.220073702279478,2,VEBA.52430[SPVEBA_; ref=mba.52430; s=5378.87617252->5385.53625428; length=6.66008175947; span_s=5378.87617252->5385.53665679; span=6.66048426813] | MBA.52430[SPMBA__; ref=mba.52430; s=5379.09017252->5385.31024622; length=6.22007370228; span_s=5379.0901706->5385.31062451; span=6.2204539154],5379.090172519003,5385.310246221283
6.220073702279478,2,VEBA.52650[SPVEBA_; ref=mba.52650; s=5449.53174658->5456.19182834; length=6.66008175947; span_s=5449.53174658->5456.19223085; span=6.66048426813] | MBA.52650[SPMBA__; ref=mba.52650; s=5449.74574658->5455.96582028; length=6.22007370228; span_s=5449.74574466->5455.96619857; span=6.2204539154],5449.745746579003,5455.9658202812825
