550  1  1  0  2
1  2
0.00000000	0.16000000	0.00293405	3.14159265	-0.00220054	3.13463830
0.00010000	0.16000000	0.00293014	3.14159265	-0.00219760	3.13540157
0.00020000	0.16000000	0.00292622	3.14159265	-0.00219467	3.13616484
0.00030000	0.16000000	0.00292231	3.14159265	-0.00219173	3.13692810
0.00040000	0.16000000	0.00291839	3.14159265	-0.00218880	3.13769137
0.00050000	0.16000000	0.00291448	3.14159265	-0.00218586	3.13845464
0.00060000	0.16000000	0.00304854	3.14159265	-0.00228640	3.12932136
0.00070000	0.16000118	0.00318262	3.14159265	-0.00238696	3.12018649
0.00080000	0.16000437	0.00331670	3.14159265	-0.00248752	3.11105163
0.00090000	0.16000956	0.00345078	3.14159265	-0.00258808	3.10191676
0.00100000	0.16001673	0.00358486	3.14159265	-0.00268864	3.09278190
0.00110000	0.16002610	0.00365526	3.14159265	-0.00274144	3.08293771
0.00120000	0.16003748	0.00372564	3.14159265	-0.00279423	3.07309333
0.00130000	0.16005077	0.00379603	3.14159265	-0.00284702	3.06324895
0.00140000	0.16006596	0.00386641	3.14159265	-0.00289981	3.05340458
0.00150000	0.16008320	0.00393679	3.14159265	-0.00295259	3.04356020
0.00160000	0.16010243	0.00400718	3.14159265	-0.00300538	3.03371582
0.00170000	0.16012349	0.00407756	3.14159265	-0.00305817	3.02387144
0.00180000	0.16014637	0.00414794	3.14159265	-0.00311096	3.01402707
0.00190000	0.16017116	0.00421833	3.14159265	-0.00316374	3.00418269
0.00200000	0.16019791	0.00428871	3.14159265	-0.00321653	2.99433831
0.00210000	0.16022642	0.00434695	3.14159265	-0.00326021	2.98807501
0.00220000	0.16025666	0.00440508	3.14159265	-0.00330381	2.98184210
0.00230000	0.16028867	0.00446322	3.14159265	-0.00334741	2.97560918
0.00240000	0.16032262	0.00452136	3.14159265	-0.00339102	2.96937627
0.00250000	0.16035824	0.00457949	3.14159265	-0.00343462	2.96314335
0.00260000	0.16039552	0.00463763	3.14159265	-0.00347822	2.95691043
0.00270000	0.16043445	0.00469576	3.14159265	-0.00352182	2.95067752
0.00280000	0.16047524	0.00475390	3.14159265	-0.00356542	2.94444460
0.00290000	0.16051765	0.00481204	3.14159265	-0.00360903	2.93821169
0.00300000	0.16056165	0.00487017	3.14159265	-0.00365263	2.93197877
0.00310000	0.16060720	0.00492268	3.14159265	-0.00369201	2.92753476
0.00320000	0.16065449	0.00497513	3.14159265	-0.00373135	2.92310850
0.00330000	0.16070336	0.00502759	3.14159265	-0.00377069	2.91868224
0.00340000	0.16075374	0.00508004	3.14159265	-0.00381003	2.91425598
0.00350000	0.16080560	0.00513249	3.14159265	-0.00384937	2.90982973
0.00360000	0.16085906	0.00518495	3.14159265	-0.00388871	2.90540347
0.00370000	0.16091407	0.00523740	3.14159265	-0.00392805	2.90097721
0.00380000	0.16097050	0.00528985	3.14159265	-0.00396739	2.89655095
0.00390000	0.16102835	0.00534230	3.14159265	-0.00400673	2.89212470
0.00400000	0.16108765	0.00539476	3.14159265	-0.00404607	2.88769844
0.00410000	0.16114848	0.00544190	3.14159265	-0.00408142	2.88460641
0.00420000	0.16121065	0.00548899	3.14159265	-0.00411674	2.88152838
0.00430000	0.16127415	0.00553607	3.14159265	-0.00415205	2.87845034
0.00440000	0.16133899	0.00558316	3.14159265	-0.00418737	2.87537230
0.00450000	0.16140530	0.00563024	3.14159265	-0.00422268	2.87229426
0.00460000	0.16147288	0.00567733	3.14159265	-0.00425800	2.86921623
0.00470000	0.16154171	0.00572442	3.14159265	-0.00429331	2.86613819
0.00480000	0.16161178	0.00577150	3.14159265	-0.00432863	2.86306015
0.00490000	0.16168324	0.00581859	3.14159265	-0.00436394	2.85998212
0.00500000	0.16175590	0.00586567	3.14159265	-0.00439926	2.85690408
0.00510000	0.16182975	0.00590823	3.14159265	-0.00443117	2.85478174
0.00520000	0.16190474	0.00595071	3.14159265	-0.00446303	2.85267535
0.00530000	0.16198100	0.00599319	3.14159265	-0.00449489	2.85056896
0.00540000	0.16205843	0.00603567	3.14159265	-0.00452675	2.84846257
0.00550000	0.16213695	0.00607815	3.14159265	-0.00455861	2.84635618
0.00560000	0.16221655	0.00612063	3.14159265	-0.00459047	2.84424979
0.00570000	0.16229729	0.00616311	3.14159265	-0.00462233	2.84214339
0.00580000	0.16237916	0.00620559	3.14159265	-0.00465419	2.84003700
0.00590000	0.16246204	0.00624807	3.14159265	-0.00468605	2.83793061
0.00600000	0.16254592	0.00629055	3.14159265	-0.00471791	2.83582422
0.00610000	0.16263082	0.00632857	3.14159265	-0.00474642	2.83448718
0.00620000	0.16271680	0.00636646	3.14159265	-0.00477485	2.83316968
0.00630000	0.16280371	0.00640436	3.14159265	-0.00480327	2.83185218
0.00640000	0.16289155	0.00644226	3.14159265	-0.00483170	2.83053468
0.00650000	0.16298029	0.00648016	3.14159265	-0.00486012	2.82921718
0.00660000	0.16307005	0.00651806	3.14159265	-0.00488855	2.82789968
0.00670000	0.16316067	0.00655596	3.14159265	-0.00491697	2.82658218
0.00680000	0.16325213	0.00659386	3.14159265	-0.00494540	2.82526468
0.00690000	0.16334441	0.00663176	3.14159265	-0.00497382	2.82394717
0.00700000	0.16343761	0.00666966	3.14159265	-0.00500224	2.82262967
0.00710000	0.16353161	0.00670399	3.14159265	-0.00502799	2.82185838
0.00720000	0.16362637	0.00673820	3.14159265	-0.00505365	2.82110559
0.00730000	0.16372187	0.00677241	3.14159265	-0.00507931	2.82035281
0.00740000	0.16381817	0.00680663	3.14159265	-0.00510497	2.81960003
