field_component,derivative_x,region_name,s_start,s_end,idx_start,idx_end,param_index,param_name,param_symbol,param_value,to_fit
Bx,0,Poly_106,0.292,0.304,1392,1404,2,ks_1_2,ks_1_2,6613896.547891778,True
Bx,0,Poly_106,0.292,0.304,1392,1404,3,ks_1_3,ks_1_3,-15020339.507034747,True
Bx,0,Poly_106,0.292,0.304,1392,1404,4,ks_1_4,ks_1_4,12788486.60976083,True
Bx,0,Poly_107,0.304,0.322,1404,1422,0,ks_1_0,ks_1_0,10665.839392531367,True
Bx,0,Poly_107,0.304,0.322,1404,1422,1,ks_1_1,ks_1_1,-113542.76305657435,True
Bx,0,Poly_107,0.304,0.322,1404,1422,2,ks_1_2,ks_1_2,434313.28468868695,True
Bx,0,Poly_107,0.304,0.322,1404,1422,3,ks_1_3,ks_1_3,-690172.7281774203,True
Bx,0,Poly_107,0.304,0.322,1404,1422,4,ks_1_4,ks_1_4,363360.8490255502,True
Bx,0,Poly_108,0.322,0.334,1422,1434,0,ks_1_0,ks_1_0,16881.750110621208,True
Bx,0,Poly_108,0.322,0.334,1422,1434,1,ks_1_1,ks_1_1,-237574.0547500891,True
Bx,0,Poly_108,0.322,0.334,1422,1434,2,ks_1_2,ks_1_2,1230663.2958199128,True
Bx,0,Poly_108,0.322,0.334,1422,1434,3,ks_1_3,ks_1_3,-2792443.22603882,True
Bx,0,Poly_108,0.322,0.334,1422,1434,4,ks_1_4,ks_1_4,2348439.6112886034,True
Bx,0,Poly_109,0.334,0.34600000000000003,1434,1446,0,ks_1_0,ks_1_0,77642.08973564315,True
Bx,0,Poly_109,0.334,0.34600000000000003,1434,1446,1,ks_1_1,ks_1_1,-899751.0385071507,True
Bx,0,Poly_109,0.334,0.34600000000000003,1434,1446,2,ks_1_2,ks_1_2,3909286.2663066643,True
Bx,0,Poly_109,0.334,0.34600000000000003,1434,1446,3,ks_1_3,ks_1_3,-7547525.256930753,True
Bx,0,Poly_109,0.334,0.34600000000000003,1434,1446,4,ks_1_4,ks_1_4,5463269.996055301,True
Bx,0,Poly_11,-0.984,-0.974,116,126,0,ks_1_0,ks_1_0,3458842.904081275,True
Bx,0,Poly_11,-0.984,-0.974,116,126,1,ks_1_1,ks_1_1,14330012.35658052,True
Bx,0,Poly_11,-0.984,-0.974,116,126,2,ks_1_2,ks_1_2,22256097.14924785,True
